Client facturé - Numéro du client,Client facturé - Nom,Client facturé - Adresse 1,Client facturé - Ville,Client facturé - Code postal,Client facturé - Téléphone,Client livré à - Numéro du client,Client livré à - Nom,Client livré à - Adresse 1,Client livré à - Ville,Client livré à - Code postal,Client livré à - Téléphone,Numéro de taxe fédérale,Numéro de taxe provinciale,Numéro du vendeur,Mode de transport,Remarque,Sous-total sans taxe,Taxe fédérale,Taxe provinciale,Sous-total avec taxe ajoutée,Solde de la facture,Total à payer (avec taxes et escompte),Sous-total avec escompte,Numéro de la facture,Date de la facture,Note de crédit (T/F),Montant total d'escompte,Numéro de commande,Numéro de commande client,Montant fixe d'escompte général,Pourcentage d'escompte général,Niveau de taxe provinciale,Taux 1 de taxe provinciale,Numéro de G/L taxe provinciale taux 1,Montant d'encaissement comptant,Date d'encaissement comptant,Montant d'encaissement par carte,Date d'encaissement par carte,Nom de la carte de crédit,Numéro de carte,Date d'expiration de la carte,Numéro d'autorisation de la carte,Montant d'encaissement autre,Date d'encaissement autre,Mode de paiement autre,Détails supplémentaires enc. autre,Taux 1 de taxe fédérale,Taux 2 de taxe fédérale,Montant d'encaissement crédit flottant,Date d'encaissement crédit flottant,Montant de taxe fédérale incluse,Montant de taxe provinciale incluse,Facture imprimée (T/F),Taxe fédérale avant provinciale (O/N),Taxe fédérale après provinciale (O/N),Taxe provinciale après escompte (O/N),Montant fixe de taxe fédérale,Numéro de G/L taxe provinciale taux 2,Taux 2 de taxe provinciale,Montant de taxe provinciale taux 2,Montant de taxe provinciale incluse taux 2,Pourcentage de retenue,Taxe provinciale sur retenues taux 1,Taxe provinciale sur retenues taux 2,Taxe fédérale sur retenues,Numéro de projet,Montant de retenue sans taxe,Montant total de la retenue,Code d'identification,Montant de transport,Numéro de G/L transport,Date de vente ou d'échéance,Code de taxe prov. pour transport (0-2),Code de taxe féd. pour transport (0-3),Taxe prov. incluse pour transport (T/F),Taxe féd. incluse pour transport (T/F),Remboursement taxe fédérale,Remboursement taxe provinciale niveau 1,Remboursement taxe provinciale niveau 2,Montant de dépôt,Station,No du cpte ouvert original,Conditions de paiement,Devise étrangère,Numéro de référence EDI,Encaissements par DPA (T/F),Montant encaissé par DPA,Client facturé - Adresse 2,Client facturé - Code de province,Client facturé - Code de pays,Client livré à - Adresse 2,Client livré à - Code de province,Client livré à - Code de pays,Description autres frais,Numéro de grand livre autres frais,Pourcentage autres frais,Code taxe provinciale,Code taxe fédérale,Taxe incluse provinciale,Taxe incluse fédérale,Montant autres frais,Client facturé - Description autre province,Client livré à - Description autre province,Montant d'encaissement par chèque,Montant d'encaissement par carte de débit,Numéro de chèque du client,Date d'encaissement par chèque,Date d'encaissement par carte de débit,Montant de l'arrondissement,Usage interne,Usage interne,Usage interne,FFDEJA,FFGL1,FFGL2,FFGL3,FFGL4,FFDEBGL,FFCHQGL,HASDOC,FFACTID,HASCOLI,CRYPTED
C-S-CH-ROY,COMM. SCOLAIRE CHEMIN DU ROY,"1515, rue Ste-Marguerite",Trois-Rivières,G8Z 1W2,819-379-6565,,M E M E,,,,,,,,,,2973.60,148.68,296.62,3418.90,3418.90,3418.90,2973.60,002178,2012/11/21,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000012079,0.00,0.00,,0.00,31900,2012/11/21,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
COOP-ST-NA,LA COOP UNIVERT,"450, de l'église",St-Narcisse (Québec),G0X 2Y0,,,M E M E,,,,,,,,,,574.50,28.73,57.31,660.54,660.54,660.54,574.50,002181,2012/11/27,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,FALSE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,,0.00,0.00,,0.00,31900,2012/11/27,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
SOC-DEV-SH,SOCIETE DE DEVELOPPEMENT DE SHAWINIGAN,"550, avenue de l'Hôtel de Ville",Shawinigan,G9N 1M6,819-536-7211,,M E M E,,,,,,,,,,120930.68,0.00,0.00,120930.68,120930.68,120930.68,120930.68,002182,2012/11/28,FALSE,0.00,,,0.00,0.0000,3,0.000000,,0.00,,0.00,,,,,,0.00,,,,0.0000,0.0000,0.00,,0.00,0.00,FALSE,N,N,N,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000011084,0.00,0.00,,0.00,31900,2012/11/28,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
SOC-DEV-SH,SOCIETE DE DEVELOPPEMENT DE SHAWINIGAN,"550, avenue de l'Hôtel de Ville",Shawinigan,G9N 1M6,819-536-7211,,M E M E,,,,,,,,,,-120930.68,0.00,0.00,-120930.68,-120930.68,-120930.68,-120930.68,002183,2012/11/28,FALSE,0.00,,,0.00,0.0000,3,0.000000,,0.00,,0.00,,,,,,0.00,,,,0.0000,0.0000,0.00,,0.00,0.00,FALSE,N,N,N,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000011084,0.00,0.00,,0.00,31900,2012/11/28,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
ERIVAN-GEC,ERIVAN/GECOM INC.,"839, chemin du fer à cheval",Ste-Julie,J3E 1Y2,450-922-3000,,M E M E,,,,,,,,,,7121.51,356.08,710.37,8187.96,8187.96,8187.96,7121.51,002184,2012/11/28,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000012063,0.00,0.00,,0.00,31900,2012/11/28,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
COMM-SCOL.,COMMISSION SCOLAIRE DE L'ENERGIE,"2072, rue Gignac",Shawinigan (Québec),G9N 6V7,,,M E M E,,,,,,,,,,2355.27,117.76,234.94,2707.97,2437.17,2707.97,2355.27,002185,2012/11/28,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.1000,23.49,0.00,11.78,0000012028,235.53,270.80,,0.00,31900,2012/11/28,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
COOP-ST-NA,LA COOP UNIVERT,"450, de l'église",St-Narcisse (Québec),G0X 2Y0,,,M E M E,,,,,,,,,,28095.00,1404.75,2802.48,32302.23,32302.23,32302.23,28095.00,002186,2012/11/30,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000012075,0.00,0.00,,0.00,31900,2012/11/30,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
OFFICE-T-R,OFFICE MUN. D'HABITATION TROIS-RIVIERES,"003-3825, Jacques-de-Labadie",Trois-Rivières,G8Y 4Y2,819-378-5438,,M E M E,,,,,,,,,,96154.28,4807.71,9591.39,110553.38,99498.04,110553.38,96154.28,002190,2012/11/30,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,FALSE,O,N,O,0.0000,,0.000000,0.00,0.00,0.1000,959.14,0.00,480.77,0000012051,9615.43,11055.34,,0.00,31900,2012/11/30,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
ARBEC-----,"PRODUITS FORESTIERS ARBEC, S.E.N.C.","775, 122e Rue",St-Georges de Champlain,G9T 5K4,,,M E M E,,,,,,,,,,1673.10,83.66,166.89,1923.65,1923.65,1923.65,1673.10,002191,2012/11/30,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000012080,0.00,0.00,,0.00,31900,2012/11/30,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,C.P. 10040,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
PROD-G-M--,PRODUITS DE NOS GRAND-MERES N D INC.,"71, rue St-François",St-Séverin,G0X 2B0,418-365-5056,,M E M E,,,,,,,,,,19114.19,955.71,1906.64,21976.54,21976.54,21976.54,19114.19,002192,2012/11/30,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000012074,0.00,0.00,,0.00,31900,2012/11/30,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
IMM-DOLIA-,IMMEUBLES DOLIA (LES),"381, route 153",St-Tite,G0X 3H0,418-365-5979,,M E M E,,,,,,,,,,27201.05,1360.05,2713.31,31274.41,31274.41,31274.41,27201.05,002194,2012/11/30,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000012077,0.00,0.00,,0.00,31900,2012/11/30,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
TROU-DIABL,TROU DU DIABLE,"412, rue Willow",Shawinigan,G9N 1X2,,,M E M E,,,,,,,,,,43955.77,2197.79,4384.59,50538.15,50538.15,50538.15,43955.77,002195,2012/11/30,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000012048,0.00,0.00,,0.00,31900,2012/11/30,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
COOP-ST-NA,LA COOP UNIVERT,"450, de l'église",St-Narcisse (Québec),G0X 2Y0,,,M E M E,,,,,,,,,,1507.04,75.35,150.33,1732.72,1732.72,1732.72,1507.04,002196,2012/11/30,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000012075,0.00,0.00,,0.00,31900,2012/11/30,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
OFFICE-T-R,OFFICE MUN. D'HABITATION TROIS-RIVIERES,"003-3825, Jacques-de-Labadie",Trois-Rivières,G8Y 4Y2,819-378-5438,,M E M E,,,,,,,,,,197840.53,9892.03,19734.59,227467.15,204720.44,227467.15,197840.53,002197,2012/11/30,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.1000,1973.46,0.00,989.20,0000012021,19784.05,22746.71,,0.00,31900,2012/11/30,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
COOP-ST-NA,LA COOP UNIVERT,"450, de l'église",St-Narcisse (Québec),G0X 2Y0,,,M E M E,,,,,,,,,,165.60,8.28,16.52,190.40,190.40,190.40,165.60,002199,2012/11/30,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000012075,0.00,0.00,,0.00,31900,2012/11/30,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
COMM-SCOL.,COMMISSION SCOLAIRE DE L'ENERGIE,"2072, rue Gignac",Shawinigan (Québec),G9N 6V7,,,M E M E,,,,,,,,,,-1369.72,-68.49,-136.63,-1574.84,-1574.84,-1574.84,-1369.72,002207,2012/12/01,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,FALSE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000012028,0.00,0.00,,0.00,31900,2012/12/01,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
CIE-GESTIO,9149-7818 QC INC. (CIE GESTION),"253, route 153",St-Tite,G0X 3H0,,,M E M E,,,,,,,,,,50000.00,2500.00,4987.50,57487.50,57487.50,57487.50,50000.00,002210,2012/12/01,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000012006,0.00,0.00,,0.00,31900,2012/12/01,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
SOC-IMMOBI,SOCIETE IMMOBILIERE DU QUEBEC,"100, rue Laviolette",Trois-Rivières (Québec),G9A 5S9,,,M E M E,,,,,tps,tvq,,,,23034.72,0.00,0.00,23034.72,23034.72,23034.72,23034.72,002193,2012/12/06,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000012081,0.00,0.00,,0.00,31900,2012/12/06,0,0,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
ENT-BERGER,ENTREPRISES J-P & G BERGERON,"53, Principale",St-Naricsse,G0X 2H0,418-328-8233,,M E M E,,,,,,,,,,1910.00,95.50,190.52,2196.02,2196.02,2196.02,1910.00,002198,2012/12/12,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,,0.00,0.00,,0.00,31900,2012/12/12,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
KORVETTE--,KORVETTE,"2325, boul. des Récollets",Trois-Rivières (Qc),G8Z 3X8,,,M E M E,,,,,,,,,,149.09,7.45,14.87,171.41,171.41,171.41,149.09,002200,2012/12/14,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000012068,0.00,0.00,,0.00,31900,2012/12/14,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
KORVETTE--,KORVETTE,"2325, boul. des Récollets",Trois-Rivières (Qc),G8Z 3X8,,,M E M E,,,,,,,,,,-149.09,-7.45,-14.87,-171.41,-171.41,-171.41,-149.09,002201,2012/12/14,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,FALSE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000012068,0.00,0.00,,0.00,31900,2012/12/14,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
SOCIETE-CO,SOCIETE EN COMMANDITE KORVEX,"2325, boul. Des Récollets",Trois-Rivières,G8Z 3X8,,,M E M E,,,,,,,,,,149.09,7.45,14.87,171.41,171.41,171.41,149.09,002202,2012/12/14,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,FALSE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000012068,0.00,0.00,,0.00,31900,2012/12/14,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
OFFICE-T-R,OFFICE MUN. D'HABITATION TROIS-RIVIERES,"003-3825, Jacques-de-Labadie",Trois-Rivières,G8Y 4Y2,819-378-5438,,M E M E,,,,,,,,,,57964.11,2898.21,5781.92,66644.24,59979.82,66644.24,57964.11,002205,2012/12/14,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.1000,578.19,0.00,289.82,0000012051,5796.41,6664.42,,0.00,31900,2012/12/14,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
SOC-IMMOBI,SOCIETE IMMOBILIERE DU QUEBEC,"100, rue Laviolette",Trois-Rivières (Québec),G9A 5S9,,,M E M E,,,,,tps,tvq,,,,138.00,0.00,0.00,138.00,138.00,138.00,138.00,002203,2012/12/17,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,FALSE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000012081,0.00,0.00,,0.00,31900,2012/12/17,0,0,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
CSSS-BATIS,CSSS DE LA VALLEE DE LA BATISCAN,"750, rue Du Couvent",St-Tite (Québec),G0X 3H0,,,M E M E,,,,,,,,,,7384.27,369.21,736.58,8490.06,8490.06,8490.06,7384.27,002204,2012/12/17,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000012082,0.00,0.00,,0.00,31900,2012/12/17,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
SALON-QUIL,SALON QUILLE BOULE-VARD,"750, St-Joseph",St-Tite (QC),G0X 3H0,,,M E M E,,,,,,,,,,175.76,8.79,17.53,202.08,202.08,202.08,175.76,002206,2012/12/18,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,,0.00,0.00,,0.00,31900,2012/12/18,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
OFFICE-T-R,OFFICE MUN. D'HABITATION TROIS-RIVIERES,"003-3825, Jacques-de-Labadie",Trois-Rivières,G8Y 4Y2,819-378-5438,,M E M E,,,,,,,,,,44964.77,2248.24,4485.24,51698.25,46528.43,51698.25,44964.77,002208,2012/12/19,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.1000,448.52,0.00,224.82,0000012062,4496.48,5169.82,,0.00,31900,2012/12/19,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
OFFICE-T-R,OFFICE MUN. D'HABITATION TROIS-RIVIERES,"003-3825, Jacques-de-Labadie",Trois-Rivières,G8Y 4Y2,819-378-5438,,M E M E,,,,,,,,,,82664.50,4133.23,8245.78,95043.51,85539.16,95043.51,82664.50,002209,2012/12/19,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.1000,824.58,0.00,413.32,0000012061,8266.45,9504.35,,0.00,31900,2012/12/19,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
OFFICE-T-R,OFFICE MUN. D'HABITATION TROIS-RIVIERES,"003-3825, Jacques-de-Labadie",Trois-Rivières,G8Y 4Y2,819-378-5438,,M E M E,,,,,,,,,,184996.80,9249.84,18453.43,212700.07,191430.07,212700.07,184996.80,002211,2012/12/20,FALSE,0.00,,,0.00,0.0000,1,0.095000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.1000,1845.34,0.00,924.98,0000012073,18499.68,21270.00,,0.00,31900,2012/12/20,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-008,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:18.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
